k_folds,norm,eta,train loss,test loss
2,min_max,0.1,7,4
2,min_max,0.2,12,3
2,min_max,0.3,9,4
2,min_max,0.4,14,7
2,min_max,0.5,11,4
2,min_max,0.6,27,9
2,min_max,0.7,9,4
2,min_max,0.8,11,4
2,min_max,0.9,18,8
2,min_max,1.0,10,4
2,z_score,0.1,14,7
2,z_score,0.2,9,2
2,z_score,0.3,10,4
2,z_score,0.4,8,6
2,z_score,0.5,7,3
2,z_score,0.6,12,4
2,z_score,0.7,11,4
2,z_score,0.8,10,3
2,z_score,0.9,14,6
2,z_score,1.0,8,4
2,none,0.1,124,29
2,none,0.2,161,39
2,none,0.3,162,38
2,none,0.4,101,25
2,none,0.5,159,37
2,none,0.6,83,17
2,none,0.7,135,33
2,none,0.8,86,23
2,none,0.9,122,31
2,none,1.0,81,22
3,min_max,0.1,12,5
3,min_max,0.2,12,5
3,min_max,0.3,7,4
3,min_max,0.4,9,4
3,min_max,0.5,7,4
3,min_max,0.6,12,5
3,min_max,0.7,9,4
3,min_max,0.8,9,4
3,min_max,0.9,8,4
3,min_max,1.0,12,5
3,z_score,0.1,10,3
3,z_score,0.2,9,3
3,z_score,0.3,10,3
3,z_score,0.4,10,4
3,z_score,0.5,7,4
3,z_score,0.6,9,3
3,z_score,0.7,6,3
3,z_score,0.8,7,3
3,z_score,0.9,10,3
3,z_score,1.0,5,3
3,none,0.1,157,37
3,none,0.2,151,40
3,none,0.3,129,32
3,none,0.4,64,18
3,none,0.5,154,38
3,none,0.6,155,38
3,none,0.7,85,23
3,none,0.8,43,8
3,none,0.9,160,38
3,none,1.0,106,27
4,min_max,0.1,13,2
4,min_max,0.2,11,5
4,min_max,0.3,9,4
4,min_max,0.4,11,2
4,min_max,0.5,10,4
4,min_max,0.6,12,5
4,min_max,0.7,20,2
4,min_max,0.8,12,4
4,min_max,0.9,13,5
4,min_max,1.0,7,4
4,z_score,0.1,10,2
4,z_score,0.2,8,4
4,z_score,0.3,6,3
4,z_score,0.4,8,3
4,z_score,0.5,12,3
4,z_score,0.6,9,3
4,z_score,0.7,11,4
4,z_score,0.8,9,4
4,z_score,0.9,5,3
4,z_score,1.0,9,2
4,none,0.1,123,31
4,none,0.2,145,38
4,none,0.3,119,31
4,none,0.4,135,32
4,none,0.5,92,24
4,none,0.6,161,39
4,none,0.7,60,17
4,none,0.8,161,39
4,none,0.9,122,31
4,none,1.0,83,26
5,min_max,0.1,9,4
5,min_max,0.2,9,2
5,min_max,0.3,8,4
5,min_max,0.4,10,2
5,min_max,0.5,11,5
5,min_max,0.6,9,2
5,min_max,0.7,12,6
5,min_max,0.8,13,2
5,min_max,0.9,8,4
5,min_max,1.0,19,2
5,z_score,0.1,9,4
5,z_score,0.2,6,3
5,z_score,0.3,8,4
5,z_score,0.4,11,2
5,z_score,0.5,10,4
5,z_score,0.6,8,4
5,z_score,0.7,8,4
5,z_score,0.8,6,3
5,z_score,0.9,8,4
5,z_score,1.0,9,4
5,none,0.1,79,23
5,none,0.2,64,20
5,none,0.3,79,22
5,none,0.4,61,13
5,none,0.5,91,24
5,none,0.6,136,35
5,none,0.7,78,17
5,none,0.8,148,35
5,none,0.9,76,22
5,none,1.0,79,22
6,min_max,0.1,10,4
6,min_max,0.2,11,4
6,min_max,0.3,12,6
6,min_max,0.4,13,7
6,min_max,0.5,8,4
6,min_max,0.6,8,4
6,min_max,0.7,10,4
6,min_max,0.8,9,4
6,min_max,0.9,11,4
6,min_max,1.0,8,4
6,z_score,0.1,5,3
6,z_score,0.2,9,5
6,z_score,0.3,9,2
6,z_score,0.4,5,3
6,z_score,0.5,5,3
6,z_score,0.6,8,4
6,z_score,0.7,7,3
6,z_score,0.8,6,3
6,z_score,0.9,7,4
6,z_score,1.0,8,4
6,none,0.1,87,17
6,none,0.2,61,12
6,none,0.3,87,18
6,none,0.4,79,22
6,none,0.5,88,23
6,none,0.6,41,11
6,none,0.7,81,23
6,none,0.8,122,36
6,none,0.9,40,7
6,none,1.0,58,17
7,min_max,0.1,9,4
7,min_max,0.2,6,4
7,min_max,0.3,9,4
7,min_max,0.4,9,4
7,min_max,0.5,9,4
7,min_max,0.6,8,4
7,min_max,0.7,11,5
7,min_max,0.8,8,4
7,min_max,0.9,9,4
7,min_max,1.0,9,4
7,z_score,0.1,7,3
7,z_score,0.2,8,4
7,z_score,0.3,10,4
7,z_score,0.4,5,3
7,z_score,0.5,5,3
7,z_score,0.6,10,3
7,z_score,0.7,8,4
7,z_score,0.8,8,3
7,z_score,0.9,8,4
7,z_score,1.0,4,4
7,none,0.1,71,21
7,none,0.2,48,10
7,none,0.3,84,23
7,none,0.4,81,21
7,none,0.5,79,22
7,none,0.6,81,22
7,none,0.7,85,26
7,none,0.8,113,29
7,none,0.9,82,24
7,none,1.0,79,22
8,min_max,0.1,9,3
8,min_max,0.2,8,4
8,min_max,0.3,9,2
8,min_max,0.4,8,4
8,min_max,0.5,9,4
8,min_max,0.6,6,4
8,min_max,0.7,10,4
8,min_max,0.8,12,5
8,min_max,0.9,16,2
8,min_max,1.0,9,4
8,z_score,0.1,12,4
8,z_score,0.2,10,4
8,z_score,0.3,9,3
8,z_score,0.4,11,4
8,z_score,0.5,5,4
8,z_score,0.6,4,4
8,z_score,0.7,8,4
8,z_score,0.8,8,3
8,z_score,0.9,8,4
8,z_score,1.0,8,4
8,none,0.1,95,24
8,none,0.2,70,20
8,none,0.3,79,26
8,none,0.4,80,19
8,none,0.5,88,24
8,none,0.6,41,6
8,none,0.7,56,17
8,none,0.8,73,21
8,none,0.9,66,20
8,none,1.0,81,22
9,min_max,0.1,8,4
9,min_max,0.2,9,4
9,min_max,0.3,9,4
9,min_max,0.4,8,4
9,min_max,0.5,7,4
9,min_max,0.6,8,4
9,min_max,0.7,10,4
9,min_max,0.8,8,4
9,min_max,0.9,5,4
9,min_max,1.0,9,4
9,z_score,0.1,9,4
9,z_score,0.2,8,3
9,z_score,0.3,8,4
9,z_score,0.4,8,4
9,z_score,0.5,8,4
9,z_score,0.6,9,4
9,z_score,0.7,8,4
9,z_score,0.8,5,3
9,z_score,0.9,8,4
9,z_score,1.0,7,4
9,none,0.1,78,22
9,none,0.2,87,18
9,none,0.3,43,11
9,none,0.4,83,20
9,none,0.5,97,25
9,none,0.6,96,26
9,none,0.7,72,23
9,none,0.8,77,21
9,none,0.9,75,16
9,none,1.0,78,22
10,min_max,0.1,10,5
10,min_max,0.2,8,4
10,min_max,0.3,6,4
10,min_max,0.4,14,2
10,min_max,0.5,9,4
10,min_max,0.6,8,4
10,min_max,0.7,7,4
10,min_max,0.8,9,4
10,min_max,0.9,9,4
10,min_max,1.0,9,4
10,z_score,0.1,8,3
10,z_score,0.2,9,4
10,z_score,0.3,10,4
10,z_score,0.4,9,4
10,z_score,0.5,9,3
10,z_score,0.6,10,3
10,z_score,0.7,8,3
10,z_score,0.8,7,4
10,z_score,0.9,6,4
10,z_score,1.0,8,4
10,none,0.1,79,23
10,none,0.2,69,19
10,none,0.3,79,22
10,none,0.4,87,23
10,none,0.5,42,7
10,none,0.6,86,25
10,none,0.7,88,24
10,none,0.8,81,23
10,none,0.9,82,23
10,none,1.0,48,10
11,min_max,0.1,6,4
11,min_max,0.2,10,4
11,min_max,0.3,9,4
11,min_max,0.4,9,4
11,min_max,0.5,9,4
11,min_max,0.6,7,4
11,min_max,0.7,9,4
11,min_max,0.8,5,4
11,min_max,0.9,7,4
11,min_max,1.0,9,4
11,z_score,0.1,9,3
11,z_score,0.2,9,4
11,z_score,0.3,6,4
11,z_score,0.4,10,4
11,z_score,0.5,8,3
11,z_score,0.6,8,4
11,z_score,0.7,8,4
11,z_score,0.8,5,3
11,z_score,0.9,6,4
11,z_score,1.0,8,4
11,none,0.1,55,6
11,none,0.2,89,24
11,none,0.3,79,22
11,none,0.4,80,16
11,none,0.5,64,14
11,none,0.6,85,23
11,none,0.7,85,24
11,none,0.8,71,19
11,none,0.9,52,7
11,none,1.0,85,23
12,min_max,0.1,9,4
12,min_max,0.2,9,4
12,min_max,0.3,8,4
12,min_max,0.4,9,4
12,min_max,0.5,9,3
12,min_max,0.6,8,3
12,min_max,0.7,8,4
12,min_max,0.8,17,2
12,min_max,0.9,11,5
12,min_max,1.0,7,4
12,z_score,0.1,6,4
12,z_score,0.2,9,4
12,z_score,0.3,7,4
12,z_score,0.4,6,3
12,z_score,0.5,6,3
12,z_score,0.6,8,3
12,z_score,0.7,8,4
12,z_score,0.8,9,4
12,z_score,0.9,7,4
12,z_score,1.0,6,3
12,none,0.1,72,22
12,none,0.2,89,24
12,none,0.3,82,23
12,none,0.4,81,22
12,none,0.5,64,17
12,none,0.6,72,20
12,none,0.7,75,13
12,none,0.8,81,22
12,none,0.9,60,7
12,none,1.0,39,9
13,min_max,0.1,8,4
13,min_max,0.2,9,4
13,min_max,0.3,11,4
13,min_max,0.4,11,5
13,min_max,0.5,8,4
13,min_max,0.6,9,4
13,min_max,0.7,9,4
13,min_max,0.8,7,4
13,min_max,0.9,8,4
13,min_max,1.0,8,4
13,z_score,0.1,7,4
13,z_score,0.2,6,4
13,z_score,0.3,8,4
13,z_score,0.4,11,4
13,z_score,0.5,7,3
13,z_score,0.6,7,4
13,z_score,0.7,9,3
13,z_score,0.8,9,4
13,z_score,0.9,8,4
13,z_score,1.0,10,4
13,none,0.1,61,19
13,none,0.2,37,9
13,none,0.3,46,13
13,none,0.4,79,23
13,none,0.5,81,22
13,none,0.6,60,17
13,none,0.7,58,11
13,none,0.8,59,16
13,none,0.9,81,22
13,none,1.0,44,11
14,min_max,0.1,11,4
14,min_max,0.2,8,3
14,min_max,0.3,9,4
14,min_max,0.4,10,2
14,min_max,0.5,10,4
14,min_max,0.6,7,4
14,min_max,0.7,10,4
14,min_max,0.8,8,4
14,min_max,0.9,8,4
14,min_max,1.0,7,4
14,z_score,0.1,8,3
14,z_score,0.2,8,3
14,z_score,0.3,10,4
14,z_score,0.4,8,2
14,z_score,0.5,10,4
14,z_score,0.6,6,4
14,z_score,0.7,4,4
14,z_score,0.8,7,4
14,z_score,0.9,9,4
14,z_score,1.0,9,4
14,none,0.1,71,13
14,none,0.2,78,22
14,none,0.3,83,23
14,none,0.4,42,6
14,none,0.5,77,16
14,none,0.6,44,5
14,none,0.7,53,12
14,none,0.8,87,24
14,none,0.9,83,23
14,none,1.0,85,18
15,min_max,0.1,8,4
15,min_max,0.2,9,4
15,min_max,0.3,7,4
15,min_max,0.4,11,4
15,min_max,0.5,8,4
15,min_max,0.6,7,4
15,min_max,0.7,8,4
15,min_max,0.8,9,2
15,min_max,0.9,7,4
15,min_max,1.0,8,4
15,z_score,0.1,8,3
15,z_score,0.2,8,4
15,z_score,0.3,6,3
15,z_score,0.4,6,3
15,z_score,0.5,7,4
15,z_score,0.6,6,4
15,z_score,0.7,6,3
15,z_score,0.8,5,4
15,z_score,0.9,9,4
15,z_score,1.0,9,4
15,none,0.1,79,22
15,none,0.2,52,18
15,none,0.3,79,22
15,none,0.4,79,21
15,none,0.5,81,22
15,none,0.6,40,4
15,none,0.7,73,20
15,none,0.8,47,9
15,none,0.9,92,24
15,none,1.0,70,20
16,min_max,0.1,8,4
16,min_max,0.2,8,4
16,min_max,0.3,8,4
16,min_max,0.4,8,4
16,min_max,0.5,7,4
16,min_max,0.6,9,4
16,min_max,0.7,8,4
16,min_max,0.8,7,4
16,min_max,0.9,8,4
16,min_max,1.0,9,3
16,z_score,0.1,5,3
16,z_score,0.2,6,4
16,z_score,0.3,8,3
16,z_score,0.4,8,3
16,z_score,0.5,5,3
16,z_score,0.6,9,4
16,z_score,0.7,7,4
16,z_score,0.8,8,4
16,z_score,0.9,6,3
16,z_score,1.0,6,3
16,none,0.1,86,18
16,none,0.2,81,22
16,none,0.3,76,21
16,none,0.4,69,15
16,none,0.5,50,11
16,none,0.6,45,9
16,none,0.7,71,20
16,none,0.8,76,21
16,none,0.9,38,9
16,none,1.0,68,18
17,min_max,0.1,7,4
17,min_max,0.2,9,4
17,min_max,0.3,7,4
17,min_max,0.4,8,4
17,min_max,0.5,7,4
17,min_max,0.6,6,4
17,min_max,0.7,8,4
17,min_max,0.8,9,4
17,min_max,0.9,10,2
17,min_max,1.0,8,3
17,z_score,0.1,8,3
17,z_score,0.2,7,4
17,z_score,0.3,9,4
17,z_score,0.4,7,3
17,z_score,0.5,5,3
17,z_score,0.6,8,4
17,z_score,0.7,7,3
17,z_score,0.8,10,4
17,z_score,0.9,8,4
17,z_score,1.0,8,4
17,none,0.1,66,11
17,none,0.2,81,22
17,none,0.3,74,21
17,none,0.4,82,23
17,none,0.5,88,24
17,none,0.6,79,21
17,none,0.7,65,16
17,none,0.8,90,24
17,none,0.9,68,19
17,none,1.0,78,22
18,min_max,0.1,8,4
18,min_max,0.2,11,4
18,min_max,0.3,9,4
18,min_max,0.4,9,4
18,min_max,0.5,7,4
18,min_max,0.6,9,4
18,min_max,0.7,8,4
18,min_max,0.8,9,4
18,min_max,0.9,8,4
18,min_max,1.0,11,5
18,z_score,0.1,8,4
18,z_score,0.2,8,4
18,z_score,0.3,9,4
18,z_score,0.4,8,3
18,z_score,0.5,8,4
18,z_score,0.6,8,4
18,z_score,0.7,5,4
18,z_score,0.8,8,3
18,z_score,0.9,8,4
18,z_score,1.0,8,4
18,none,0.1,72,21
18,none,0.2,51,11
18,none,0.3,92,24
18,none,0.4,55,12
18,none,0.5,79,22
18,none,0.6,53,11
18,none,0.7,81,23
18,none,0.8,54,10
18,none,0.9,67,16
18,none,1.0,74,17
19,min_max,0.1,9,4
19,min_max,0.2,8,4
19,min_max,0.3,7,4
19,min_max,0.4,11,2
19,min_max,0.5,8,4
19,min_max,0.6,10,4
19,min_max,0.7,7,4
19,min_max,0.8,10,4
19,min_max,0.9,9,4
19,min_max,1.0,9,4
19,z_score,0.1,11,4
19,z_score,0.2,7,4
19,z_score,0.3,6,4
19,z_score,0.4,6,3
19,z_score,0.5,9,2
19,z_score,0.6,8,3
19,z_score,0.7,7,3
19,z_score,0.8,8,4
19,z_score,0.9,9,4
19,z_score,1.0,11,4
19,none,0.1,83,23
19,none,0.2,66,15
19,none,0.3,77,21
19,none,0.4,85,22
19,none,0.5,85,24
19,none,0.6,42,9
19,none,0.7,78,21
19,none,0.8,81,22
19,none,0.9,81,22
19,none,1.0,59,8
20,min_max,0.1,9,4
20,min_max,0.2,10,2
20,min_max,0.3,8,4
20,min_max,0.4,9,4
20,min_max,0.5,9,4
20,min_max,0.6,9,4
20,min_max,0.7,9,4
20,min_max,0.8,9,4
20,min_max,0.9,7,4
20,min_max,1.0,8,4
20,z_score,0.1,10,4
20,z_score,0.2,6,4
20,z_score,0.3,8,4
20,z_score,0.4,6,4
20,z_score,0.5,9,3
20,z_score,0.6,8,4
20,z_score,0.7,9,4
20,z_score,0.8,5,3
20,z_score,0.9,6,3
20,z_score,1.0,8,3
20,none,0.1,63,14
20,none,0.2,59,13
20,none,0.3,58,14
20,none,0.4,70,17
20,none,0.5,57,10
20,none,0.6,72,20
20,none,0.7,73,18
20,none,0.8,46,10
20,none,0.9,62,13
20,none,1.0,44,10
