k_folds,norm,eta,lambda,train loss,test loss
2,min_max,0.1,0.1,49,13
2,min_max,0.1,0.2,91,24
2,min_max,0.1,0.3,79,21
2,min_max,0.1,0.4,106,26
2,min_max,0.1,0.5,79,21
2,min_max,0.1,0.6,155,37
2,min_max,0.1,0.7,96,30
2,min_max,0.1,0.8,160,38
2,min_max,0.1,0.9,161,38
2,min_max,0.1,1.0,83,17
2,min_max,0.2,0.1,80,17
2,min_max,0.2,0.2,80,22
2,min_max,0.2,0.3,161,39
2,min_max,0.2,0.4,146,41
2,min_max,0.2,0.5,162,38
2,min_max,0.2,0.6,157,43
2,min_max,0.2,0.7,162,38
2,min_max,0.2,0.8,157,43
2,min_max,0.2,0.9,129,31
2,min_max,0.2,1.0,106,29
2,min_max,0.3,0.1,40,10
2,min_max,0.3,0.2,86,19
2,min_max,0.3,0.3,158,38
2,min_max,0.3,0.4,100,21
2,min_max,0.3,0.5,162,38
2,min_max,0.3,0.6,84,24
2,min_max,0.3,0.7,84,17
2,min_max,0.3,0.8,157,43
2,min_max,0.3,0.9,157,43
2,min_max,0.3,1.0,157,43
2,min_max,0.4,0.1,138,35
2,min_max,0.4,0.2,161,39
2,min_max,0.4,0.3,162,38
2,min_max,0.4,0.4,161,39
2,min_max,0.4,0.5,157,43
2,min_max,0.4,0.6,152,43
2,min_max,0.4,0.7,161,39
2,min_max,0.4,0.8,157,43
2,min_max,0.4,0.9,161,39
2,min_max,0.4,1.0,162,38
2,min_max,0.5,0.1,93,20
2,min_max,0.5,0.2,144,34
2,min_max,0.5,0.3,124,27
2,min_max,0.5,0.4,160,39
2,min_max,0.5,0.5,157,43
2,min_max,0.5,0.6,162,38
2,min_max,0.5,0.7,133,30
2,min_max,0.5,0.8,102,20
2,min_max,0.5,0.9,157,43
2,min_max,0.5,1.0,162,38
2,min_max,0.6,0.1,153,43
2,min_max,0.6,0.2,157,43
2,min_max,0.6,0.3,83,22
2,min_max,0.6,0.4,79,21
2,min_max,0.6,0.5,157,43
2,min_max,0.6,0.6,161,39
2,min_max,0.6,0.7,80,22
2,min_max,0.6,0.8,162,38
2,min_max,0.6,0.9,110,24
2,min_max,0.6,1.0,161,39
2,min_max,0.7,0.1,87,19
2,min_max,0.7,0.2,157,43
2,min_max,0.7,0.3,157,43
2,min_max,0.7,0.4,162,38
2,min_max,0.7,0.5,157,43
2,min_max,0.7,0.6,157,43
2,min_max,0.7,0.7,143,40
2,min_max,0.7,0.8,161,39
2,min_max,0.7,0.9,161,39
2,min_max,0.7,1.0,97,22
2,min_max,0.8,0.1,162,38
2,min_max,0.8,0.2,161,39
2,min_max,0.8,0.3,80,22
2,min_max,0.8,0.4,162,38
2,min_max,0.8,0.5,157,43
2,min_max,0.8,0.6,161,39
2,min_max,0.8,0.7,161,39
2,min_max,0.8,0.8,157,43
2,min_max,0.8,0.9,161,39
2,min_max,0.8,1.0,157,43
2,min_max,0.9,0.1,161,39
2,min_max,0.9,0.2,162,38
2,min_max,0.9,0.3,162,38
2,min_max,0.9,0.4,153,43
2,min_max,0.9,0.5,135,30
2,min_max,0.9,0.6,161,39
2,min_max,0.9,0.7,157,43
2,min_max,0.9,0.8,162,38
2,min_max,0.9,0.9,162,38
2,min_max,0.9,1.0,157,43
2,min_max,1.0,0.1,72,20
2,min_max,1.0,0.2,157,43
2,min_max,1.0,0.3,161,39
2,min_max,1.0,0.4,157,43
2,min_max,1.0,0.5,161,39
2,min_max,1.0,0.6,157,43
2,min_max,1.0,0.7,161,39
2,min_max,1.0,0.8,157,43
2,min_max,1.0,0.9,161,39
2,min_max,1.0,1.0,161,39
2,z_score,0.1,0.1,38,7
2,z_score,0.1,0.2,42,12
2,z_score,0.1,0.3,49,11
2,z_score,0.1,0.4,52,14
2,z_score,0.1,0.5,40,8
2,z_score,0.1,0.6,53,13
2,z_score,0.1,0.7,51,12
2,z_score,0.1,0.8,58,15
2,z_score,0.1,0.9,47,14
2,z_score,0.1,1.0,60,12
2,z_score,0.2,0.1,59,15
2,z_score,0.2,0.2,49,14
2,z_score,0.2,0.3,50,12
2,z_score,0.2,0.4,46,10
2,z_score,0.2,0.5,49,13
2,z_score,0.2,0.6,48,12
2,z_score,0.2,0.7,77,14
2,z_score,0.2,0.8,60,8
2,z_score,0.2,0.9,46,9
2,z_score,0.2,1.0,48,15
2,z_score,0.3,0.1,51,10
2,z_score,0.3,0.2,54,14
2,z_score,0.3,0.3,134,37
2,z_score,0.3,0.4,58,16
2,z_score,0.3,0.5,90,18
2,z_score,0.3,0.6,65,18
2,z_score,0.3,0.7,64,12
2,z_score,0.3,0.8,58,8
2,z_score,0.3,0.9,64,18
2,z_score,0.3,1.0,87,23
2,z_score,0.4,0.1,48,11
2,z_score,0.4,0.2,61,16
2,z_score,0.4,0.3,79,22
2,z_score,0.4,0.4,77,21
2,z_score,0.4,0.5,66,13
2,z_score,0.4,0.6,48,13
2,z_score,0.4,0.7,64,17
2,z_score,0.4,0.8,129,28
2,z_score,0.4,0.9,117,25
2,z_score,0.4,1.0,113,33
2,z_score,0.5,0.1,57,14
2,z_score,0.5,0.2,65,19
2,z_score,0.5,0.3,46,14
2,z_score,0.5,0.4,143,41
2,z_score,0.5,0.5,87,20
2,z_score,0.5,0.6,74,13
2,z_score,0.5,0.7,87,18
2,z_score,0.5,0.8,89,20
2,z_score,0.5,0.9,78,21
2,z_score,0.5,1.0,98,27
2,z_score,0.6,0.1,53,10
2,z_score,0.6,0.2,51,7
2,z_score,0.6,0.3,86,21
2,z_score,0.6,0.4,87,19
2,z_score,0.6,0.5,53,21
2,z_score,0.6,0.6,118,26
2,z_score,0.6,0.7,73,17
2,z_score,0.6,0.8,126,29
2,z_score,0.6,0.9,100,20
2,z_score,0.6,1.0,63,18
2,z_score,0.7,0.1,54,10
2,z_score,0.7,0.2,66,19
2,z_score,0.7,0.3,75,19
2,z_score,0.7,0.4,80,22
2,z_score,0.7,0.5,88,18
2,z_score,0.7,0.6,58,13
2,z_score,0.7,0.7,104,30
2,z_score,0.7,0.8,153,43
2,z_score,0.7,0.9,117,27
2,z_score,0.7,1.0,103,22
2,z_score,0.8,0.1,53,10
2,z_score,0.8,0.2,55,15
2,z_score,0.8,0.3,89,22
2,z_score,0.8,0.4,91,26
2,z_score,0.8,0.5,78,22
2,z_score,0.8,0.6,83,22
2,z_score,0.8,0.7,109,25
2,z_score,0.8,0.8,131,31
2,z_score,0.8,0.9,107,31
2,z_score,0.8,1.0,42,14
2,z_score,0.9,0.1,90,20
2,z_score,0.9,0.2,115,27
2,z_score,0.9,0.3,52,11
2,z_score,0.9,0.4,90,22
2,z_score,0.9,0.5,68,19
2,z_score,0.9,0.6,83,24
2,z_score,0.9,0.7,103,23
2,z_score,0.9,0.8,59,12
2,z_score,0.9,0.9,130,31
2,z_score,0.9,1.0,96,19
2,z_score,1.0,0.1,88,20
2,z_score,1.0,0.2,43,15
2,z_score,1.0,0.3,128,32
2,z_score,1.0,0.4,65,20
2,z_score,1.0,0.5,79,21
2,z_score,1.0,0.6,88,28
2,z_score,1.0,0.7,69,17
2,z_score,1.0,0.8,103,22
2,z_score,1.0,0.9,86,24
2,z_score,1.0,1.0,141,34
2,none,0.1,0.1,161,39
2,none,0.1,0.2,162,38
2,none,0.1,0.3,150,37
2,none,0.1,0.4,161,39
2,none,0.1,0.5,161,39
2,none,0.1,0.6,157,43
2,none,0.1,0.7,161,39
2,none,0.1,0.8,162,38
2,none,0.1,0.9,161,39
2,none,0.1,1.0,161,39
2,none,0.2,0.1,157,43
2,none,0.2,0.2,157,43
2,none,0.2,0.3,162,38
2,none,0.2,0.4,162,38
2,none,0.2,0.5,162,38
2,none,0.2,0.6,161,39
2,none,0.2,0.7,157,43
2,none,0.2,0.8,161,39
2,none,0.2,0.9,162,38
2,none,0.2,1.0,157,43
2,none,0.3,0.1,157,43
2,none,0.3,0.2,157,43
2,none,0.3,0.3,161,39
2,none,0.3,0.4,161,39
2,none,0.3,0.5,162,38
2,none,0.3,0.6,162,38
2,none,0.3,0.7,157,43
2,none,0.3,0.8,162,38
2,none,0.3,0.9,162,38
2,none,0.3,1.0,157,43
2,none,0.4,0.1,157,43
2,none,0.4,0.2,161,39
2,none,0.4,0.3,157,43
2,none,0.4,0.4,161,39
2,none,0.4,0.5,157,43
2,none,0.4,0.6,161,39
2,none,0.4,0.7,161,39
2,none,0.4,0.8,162,38
2,none,0.4,0.9,157,43
2,none,0.4,1.0,162,38
2,none,0.5,0.1,157,43
2,none,0.5,0.2,161,39
2,none,0.5,0.3,161,39
2,none,0.5,0.4,157,43
2,none,0.5,0.5,157,43
2,none,0.5,0.6,162,38
2,none,0.5,0.7,162,38
2,none,0.5,0.8,162,38
2,none,0.5,0.9,161,39
2,none,0.5,1.0,162,38
2,none,0.6,0.1,162,38
2,none,0.6,0.2,161,39
2,none,0.6,0.3,161,39
2,none,0.6,0.4,162,38
2,none,0.6,0.5,157,43
2,none,0.6,0.6,161,39
2,none,0.6,0.7,161,39
2,none,0.6,0.8,157,43
2,none,0.6,0.9,161,39
2,none,0.6,1.0,157,43
2,none,0.7,0.1,157,43
2,none,0.7,0.2,161,39
2,none,0.7,0.3,157,43
2,none,0.7,0.4,162,38
2,none,0.7,0.5,157,43
2,none,0.7,0.6,162,38
2,none,0.7,0.7,162,38
2,none,0.7,0.8,157,43
2,none,0.7,0.9,161,39
2,none,0.7,1.0,162,38
2,none,0.8,0.1,162,38
2,none,0.8,0.2,161,39
2,none,0.8,0.3,157,43
2,none,0.8,0.4,162,38
2,none,0.8,0.5,161,39
2,none,0.8,0.6,161,39
2,none,0.8,0.7,161,39
2,none,0.8,0.8,157,43
2,none,0.8,0.9,162,38
2,none,0.8,1.0,161,39
2,none,0.9,0.1,161,39
2,none,0.9,0.2,157,43
2,none,0.9,0.3,157,43
2,none,0.9,0.4,157,43
2,none,0.9,0.5,157,43
2,none,0.9,0.6,157,43
2,none,0.9,0.7,162,38
2,none,0.9,0.8,157,43
2,none,0.9,0.9,157,43
2,none,0.9,1.0,157,43
2,none,1.0,0.1,162,38
2,none,1.0,0.2,161,39
2,none,1.0,0.3,162,38
2,none,1.0,0.4,161,39
2,none,1.0,0.5,157,43
2,none,1.0,0.6,162,38
2,none,1.0,0.7,162,38
2,none,1.0,0.8,161,39
2,none,1.0,0.9,161,39
2,none,1.0,1.0,161,39
3,min_max,0.1,0.1,71,19
3,min_max,0.1,0.2,45,12
3,min_max,0.1,0.3,79,21
3,min_max,0.1,0.4,79,21
3,min_max,0.1,0.5,159,38
3,min_max,0.1,0.6,79,21
3,min_max,0.1,0.7,80,22
3,min_max,0.1,0.8,80,23
3,min_max,0.1,0.9,84,17
3,min_max,0.1,1.0,111,22
3,min_max,0.2,0.1,79,21
3,min_max,0.2,0.2,79,22
3,min_max,0.2,0.3,159,38
3,min_max,0.2,0.4,85,18
3,min_max,0.2,0.5,156,43
3,min_max,0.2,0.6,82,16
3,min_max,0.2,0.7,96,26
3,min_max,0.2,0.8,157,43
3,min_max,0.2,0.9,161,39
3,min_max,0.2,1.0,131,38
3,min_max,0.3,0.1,62,14
3,min_max,0.3,0.2,84,18
3,min_max,0.3,0.3,80,23
3,min_max,0.3,0.4,79,21
3,min_max,0.3,0.5,83,17
3,min_max,0.3,0.6,117,26
3,min_max,0.3,0.7,63,13
3,min_max,0.3,0.8,101,22
3,min_max,0.3,0.9,155,43
3,min_max,0.3,1.0,157,43
3,min_max,0.4,0.1,82,18
3,min_max,0.4,0.2,113,34
3,min_max,0.4,0.3,162,38
3,min_max,0.4,0.4,158,37
3,min_max,0.4,0.5,79,21
3,min_max,0.4,0.6,157,43
3,min_max,0.4,0.7,161,39
3,min_max,0.4,0.8,161,39
3,min_max,0.4,0.9,157,43
3,min_max,0.4,1.0,123,29
3,min_max,0.5,0.1,116,25
3,min_max,0.5,0.2,157,43
3,min_max,0.5,0.3,79,21
3,min_max,0.5,0.4,161,38
3,min_max,0.5,0.5,161,39
3,min_max,0.5,0.6,161,39
3,min_max,0.5,0.7,162,38
3,min_max,0.5,0.8,161,39
3,min_max,0.5,0.9,109,30
3,min_max,0.5,1.0,162,38
3,min_max,0.6,0.1,95,29
3,min_max,0.6,0.2,157,43
3,min_max,0.6,0.3,157,43
3,min_max,0.6,0.4,161,39
3,min_max,0.6,0.5,79,21
3,min_max,0.6,0.6,156,43
3,min_max,0.6,0.7,162,38
3,min_max,0.6,0.8,127,28
3,min_max,0.6,0.9,117,30
3,min_max,0.6,1.0,162,38
3,min_max,0.7,0.1,80,22
3,min_max,0.7,0.2,151,37
3,min_max,0.7,0.3,79,22
3,min_max,0.7,0.4,156,43
3,min_max,0.7,0.5,161,39
3,min_max,0.7,0.6,162,38
3,min_max,0.7,0.7,157,43
3,min_max,0.7,0.8,162,38
3,min_max,0.7,0.9,159,38
3,min_max,0.7,1.0,161,39
3,min_max,0.8,0.1,82,23
3,min_max,0.8,0.2,157,43
3,min_max,0.8,0.3,161,39
3,min_max,0.8,0.4,161,39
3,min_max,0.8,0.5,157,43
3,min_max,0.8,0.6,162,38
3,min_max,0.8,0.7,162,38
3,min_max,0.8,0.8,161,39
3,min_max,0.8,0.9,80,23
3,min_max,0.8,1.0,161,39
3,min_max,0.9,0.1,79,23
3,min_max,0.9,0.2,137,32
3,min_max,0.9,0.3,88,26
3,min_max,0.9,0.4,161,39
3,min_max,0.9,0.5,157,43
3,min_max,0.9,0.6,162,38
3,min_max,0.9,0.7,162,38
3,min_max,0.9,0.8,162,38
3,min_max,0.9,0.9,157,43
3,min_max,0.9,1.0,161,39
3,min_max,1.0,0.1,157,43
3,min_max,1.0,0.2,82,22
3,min_max,1.0,0.3,161,39
3,min_max,1.0,0.4,133,38
3,min_max,1.0,0.5,157,43
3,min_max,1.0,0.6,157,43
3,min_max,1.0,0.7,157,43
3,min_max,1.0,0.8,157,43
3,min_max,1.0,0.9,162,38
3,min_max,1.0,1.0,162,38
3,z_score,0.1,0.1,33,10
3,z_score,0.1,0.2,40,9
3,z_score,0.1,0.3,47,11
3,z_score,0.1,0.4,50,8
3,z_score,0.1,0.5,54,11
3,z_score,0.1,0.6,40,12
3,z_score,0.1,0.7,58,16
3,z_score,0.1,0.8,52,13
3,z_score,0.1,0.9,53,15
3,z_score,0.1,1.0,61,16
3,z_score,0.2,0.1,46,9
3,z_score,0.2,0.2,45,6
3,z_score,0.2,0.3,45,10
3,z_score,0.2,0.4,78,20
3,z_score,0.2,0.5,51,15
3,z_score,0.2,0.6,50,14
3,z_score,0.2,0.7,43,12
3,z_score,0.2,0.8,40,11
3,z_score,0.2,0.9,77,15
3,z_score,0.2,1.0,80,17
3,z_score,0.3,0.1,45,11
3,z_score,0.3,0.2,56,12
3,z_score,0.3,0.3,55,15
3,z_score,0.3,0.4,50,10
3,z_score,0.3,0.5,82,22
3,z_score,0.3,0.6,54,18
3,z_score,0.3,0.7,68,19
3,z_score,0.3,0.8,79,21
3,z_score,0.3,0.9,59,12
3,z_score,0.3,1.0,79,22
3,z_score,0.4,0.1,43,10
3,z_score,0.4,0.2,42,6
3,z_score,0.4,0.3,74,17
3,z_score,0.4,0.4,54,9
3,z_score,0.4,0.5,61,16
3,z_score,0.4,0.6,103,24
3,z_score,0.4,0.7,63,17
3,z_score,0.4,0.8,63,15
3,z_score,0.4,0.9,99,25
3,z_score,0.4,1.0,57,14
3,z_score,0.5,0.1,58,18
3,z_score,0.5,0.2,76,21
3,z_score,0.5,0.3,74,20
3,z_score,0.5,0.4,82,23
3,z_score,0.5,0.5,79,22
3,z_score,0.5,0.6,74,20
3,z_score,0.5,0.7,78,22
3,z_score,0.5,0.8,86,18
3,z_score,0.5,0.9,67,20
3,z_score,0.5,1.0,47,13
3,z_score,0.6,0.1,53,18
3,z_score,0.6,0.2,50,10
3,z_score,0.6,0.3,83,23
3,z_score,0.6,0.4,79,21
3,z_score,0.6,0.5,82,23
3,z_score,0.6,0.6,65,13
3,z_score,0.6,0.7,78,15
3,z_score,0.6,0.8,97,19
3,z_score,0.6,0.9,157,43
3,z_score,0.6,1.0,81,17
3,z_score,0.7,0.1,89,20
3,z_score,0.7,0.2,60,17
3,z_score,0.7,0.3,122,28
3,z_score,0.7,0.4,55,14
3,z_score,0.7,0.5,87,24
3,z_score,0.7,0.6,65,14
3,z_score,0.7,0.7,78,21
3,z_score,0.7,0.8,85,17
3,z_score,0.7,0.9,95,20
3,z_score,0.7,1.0,111,34
3,z_score,0.8,0.1,66,18
3,z_score,0.8,0.2,65,19
3,z_score,0.8,0.3,79,21
3,z_score,0.8,0.4,69,20
3,z_score,0.8,0.5,62,19
3,z_score,0.8,0.6,91,22
3,z_score,0.8,0.7,50,12
3,z_score,0.8,0.8,107,23
3,z_score,0.8,0.9,74,21
3,z_score,0.8,1.0,118,23
3,z_score,0.9,0.1,89,18
3,z_score,0.9,0.2,85,22
3,z_score,0.9,0.3,67,19
3,z_score,0.9,0.4,131,26
3,z_score,0.9,0.5,109,24
3,z_score,0.9,0.6,140,36
3,z_score,0.9,0.7,120,27
3,z_score,0.9,0.8,113,22
3,z_score,0.9,0.9,55,15
3,z_score,0.9,1.0,127,36
3,z_score,1.0,0.1,49,12
3,z_score,1.0,0.2,83,24
3,z_score,1.0,0.3,66,12
3,z_score,1.0,0.4,58,11
3,z_score,1.0,0.5,66,19
3,z_score,1.0,0.6,137,37
3,z_score,1.0,0.7,72,20
3,z_score,1.0,0.8,113,31
3,z_score,1.0,0.9,156,43
3,z_score,1.0,1.0,58,18
3,none,0.1,0.1,162,38
3,none,0.1,0.2,161,39
3,none,0.1,0.3,162,38
3,none,0.1,0.4,161,39
3,none,0.1,0.5,161,39
3,none,0.1,0.6,162,38
3,none,0.1,0.7,162,38
3,none,0.1,0.8,162,38
3,none,0.1,0.9,157,43
3,none,0.1,1.0,161,39
3,none,0.2,0.1,161,39
3,none,0.2,0.2,157,43
3,none,0.2,0.3,161,39
3,none,0.2,0.4,157,43
3,none,0.2,0.5,161,39
3,none,0.2,0.6,161,39
3,none,0.2,0.7,157,43
3,none,0.2,0.8,161,39
3,none,0.2,0.9,157,43
3,none,0.2,1.0,157,43
3,none,0.3,0.1,157,43
3,none,0.3,0.2,161,39
3,none,0.3,0.3,162,38
3,none,0.3,0.4,162,38
